,,"1 = all the heat is kept in the zone, 0 = all heat lost to external",Fraction of Heat released as water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,EquipmentLevel,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Watts/Area,,,,,,,,,,,,,,
,,,,Unit Power (W),Appliance level Multiplier (NOT USED),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Appliance,EP_purpose,Useful Gains,Fraction latent,Design Level (W) ,Gross Rated Cooling COP,Gross Rated Heating COP,Efficiency,Peak_Flow_Rate,4,5,6,7,8,9,10,PM25(mg/min),PM10(mg/min),NO2(mug/s),Calculation Method,Notes,watts per zone floor area [w/m2],watts per person [w/p],fraction radiant,fraction lost,occupancy [m2/p],flow per exterior surface m3/s-m2,flow rate per person m3/s-p,,,sigma,lower,upper,
Fixture_FemaleToilets,WaterUse:Equipment,,,,,,,0.000023,,,,,,,,,,,,,,,,,,,,,,0.0000046,0.0000092,0.0000368,20
Fixture_Kitchenettes,WaterUse:Equipment,,,,,,,2.11E-05,,,,,,,,,,,,,,,,,,,,,,4.22E-06,8.44E-06,3.38E-05,20
Fixture_DisabledToilets,WaterUse:Equipment,,,,,,,4.31E-06,,,,,,,,,,,,,,,,,,,,,,8.63E-07,0.000001725,0.0000069,20
Fixture_Showers,WaterUse:Equipment,,,,,,,0.000076,,,,,,,,,,,,,,,,,,,,,,0.0000152,0.0000304,0.0001216,20
VRVBasement,AirConditioner:VariableRefrigerantFlow,,,,3.75,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,5
VRVGround,AirConditioner:VariableRefrigerantFlow,,,,3.16,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,5
VRVFirst,AirConditioner:VariableRefrigerantFlow,,,,3.62,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,5
VRVSecond,AirConditioner:VariableRefrigerantFlow,,,,3.49,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,5
VRVThirdFrontAndMiddle,AirConditioner:VariableRefrigerantFlow,,,,3.19,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,5
VRVThirdRear,AirConditioner:VariableRefrigerantFlow,,,,3.19,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,5
VRVFourth,AirConditioner:VariableRefrigerantFlow,,,,3.19,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,5
VRVFifthFront,AirConditioner:VariableRefrigerantFlow,,,,3.19,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,5
VRVFifthMiddle,AirConditioner:VariableRefrigerantFlow,,,,3.19,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,5
VRVFifthRear,AirConditioner:VariableRefrigerantFlow,,,,3.19,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,5
VRVSixth,AirConditioner:VariableRefrigerantFlow,,,,3.84,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,5
